team;wins;draws;losses;goals_for;goals_against
Manchester United FC;10;9;16;42;51
Fulham FC;14;9;12;50;47
Ipswich Town FC;4;10;21;35;76
Liverpool FC;25;7;3;81;35
Arsenal FC;18;13;4;64;31
Wolverhampton Wanderers FC;12;5;18;51;62
Everton FC;8;15;12;36;43
Brighton & Hove Albion FC;13;13;9;57;56
Newcastle United FC;19;6;10;66;45
Southampton FC;2;5;28;25;82
Nottingham Forest FC;18;7;10;54;42
AFC Bournemouth;14;11;10;55;42
West Ham United FC;9;10;16;40;59
Aston Villa FC;17;9;9;55;49
Brentford FC;15;7;13;62;53
Crystal Palace FC;11;13;11;44;48
Chelsea FC;18;9;8;62;41
Manchester City FC;19;7;9;67;43
Leicester City FC;5;6;24;29;76
Tottenham Hotspur FC;11;5;19;63;57
