Year,Team,Won,Drawn,Lost,Goals For,Goals Against
2023,Fulham FC,13,8,17,55,61
2023,Arsenal FC,28,5,5,91,29
2023,Crystal Palace FC,13,10,15,57,58
2022,Southampton FC,6,7,25,36,73
2023,Liverpool FC,24,10,4,86,41
2022,Leeds United FC,7,10,21,48,78
2023,West Ham United FC,14,10,14,60,74
2023,Newcastle United FC,18,6,14,85,62
2020,West Bromwich Albion FC,5,11,22,35,76
2022,Leicester City FC,9,7,22,51,68
2023,Tottenham Hotspur FC,20,6,12,74,61
2023,Everton FC,13,9,16,40,51
2023,Sheffield United FC,3,7,28,35,104
2023,Wolverhampton Wanderers FC,13,7,18,50,65
2023,Brighton & Hove Albion FC,12,12,14,55,62
2023,Chelsea FC,18,9,11,77,63
2023,Manchester United FC,18,6,14,57,58
2023,Burnley FC,5,9,24,41,78
2023,Aston Villa FC,20,8,10,76,61
2023,Manchester City FC,28,7,3,96,34
2023,Brentford FC,10,9,19,56,65
2021,Watford FC,6,5,27,34,77
2021,Norwich City FC,5,7,26,23,84
2023,Nottingham Forest FC,9,9,20,49,67
2023,AFC Bournemouth,13,9,16,54,67
2023,Luton Town FC,6,8,24,52,85
